dataset_name,fold,fit_time,score_time,accuracy,balanced_accuracy,precision,recall,roc_auc,average_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,seed,freq,size,noise
simulated_seed3_freq025_size150_noise60_dataset,2,289.594868183136,0.09451723098754883,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.375,0.558325028433724,500,5,10,0.8,20.0,3,25,150,60
simulated_seed3_freq025_size150_noise60_dataset,3,288.6149184703827,0.2804129123687744,0.5,0.5,0.5,0.8333333333333334,0.7673611111111112,0.8450931013431014,500,2,1,0.8,,3,25,150,60
simulated_seed3_freq025_size150_noise60_dataset,4,289.0188455581665,0.1959521770477295,0.75,0.75,0.8,0.6666666666666666,0.8159722222222222,0.8627147097541835,500,2,1,0.8,,3,25,150,60
simulated_seed3_freq025_size150_noise70_dataset,0,289.809472322464,0.04778575897216797,0.4583333333333333,0.45833333333333337,0.46153846153846156,0.5,0.513888888888889,0.6483887257107072,200,2,1,,10.0,3,25,150,70
simulated_seed3_freq025_size150_noise70_dataset,1,287.63514375686646,0.09601664543151855,0.375,0.375,0.4,0.5,0.3993055555555556,0.4688012123232207,200,2,1,,10.0,3,25,150,70
simulated_seed3_freq025_size150_noise70_dataset,2,288.89009642601013,0.25968408584594727,0.5,0.5,0.5,0.5833333333333334,0.4930555555555556,0.5976509558552903,500,2,1,0.8,,3,25,150,70
simulated_seed3_freq025_size150_noise70_dataset,3,289.55291271209717,0.09658503532409668,0.4583333333333333,0.45833333333333337,0.45454545454545453,0.4166666666666667,0.5347222222222222,0.5159981587613167,500,2,1,,10.0,3,25,150,70
simulated_seed3_freq025_size150_noise70_dataset,4,288.612930059433,0.0745396614074707,0.5416666666666666,0.5416666666666667,0.5454545454545454,0.5,0.5902777777777778,0.6968776003744539,100,5,1,0.8,10.0,3,25,150,70
simulated_seed3_freq025_size150_noise80_dataset,0,284.9976592063904,0.13977694511413574,0.625,0.625,0.6,0.75,0.767361111111111,0.7984466793096826,200,2,1,,20.0,3,25,150,80
simulated_seed3_freq025_size150_noise80_dataset,1,287.6834623813629,0.07036352157592773,0.375,0.375,0.38461538461538464,0.4166666666666667,0.4791666666666667,0.57057267351385,500,2,1,,10.0,3,25,150,80
simulated_seed3_freq025_size150_noise80_dataset,2,285.98690700531006,0.12632060050964355,0.5416666666666666,0.5416666666666667,0.5454545454545454,0.5,0.6180555555555556,0.74011568777015,100,5,1,0.8,10.0,3,25,150,80
simulated_seed3_freq025_size150_noise80_dataset,3,286.50650095939636,0.20667505264282227,0.5416666666666666,0.5416666666666667,0.5263157894736842,0.8333333333333334,0.6319444444444444,0.7304889755976712,500,2,1,,10.0,3,25,150,80
simulated_seed3_freq025_size150_noise80_dataset,4,286.54911279678345,0.1778416633605957,0.625,0.625,0.8,0.3333333333333333,0.5763888888888888,0.6783119292987714,200,2,1,,10.0,3,25,150,80
